protocol_type,src_ip,dst_ip,src_port,dst_port,flag,src_bytes,dst_bytes,duration,count,label
tcp,192.168.1.32,192.168.1.195,41667,59693,SYN,64,0,0.0,1,scanning
udp,192.168.1.190,91.189.91.139,53745,53,OTH,89,233,0.284295,2,normal
other,172.17.13.148,224.0.0.252,0,0,OTH,224,0,1.116044,4,normal
udp,192.168.1.190,192.33.14.30,2656,53,OTH,83,804,0.012742,2,injection
udp,192.168.1.152,192.168.1.190,38244,53,OTH,218,386,0.000227,4,normal
tcp,192.168.1.32,192.168.1.180,32977,2693,SYN,64,0,0.0,1,scanning
udp,192.168.1.152,192.168.1.190,49472,53,OTH,218,386,0.000271,4,normal
udp,192.168.1.35,192.168.1.1,52126,53,OTH,158,174,0.011635,4,xss
udp,192.168.1.17,239.255.255.250,55717,1900,OTH,651,0,3.01094,3,normal
udp,192.168.1.79,192.168.1.255,39134,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,34770,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.190,47800,80,ACK,662,2335,0.003587,12,injection
udp,192.168.1.79,239.255.255.250,45475,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.190,205.251.192.206,2482,53,OTH,111,376,0.011335,2,injection
tcp,192.168.1.39,176.28.50.165,41548,80,ACK,767,594,1.144541,10,xss
udp,192.168.1.6,239.255.255.250,51749,1900,OTH,338,0,0.307499,2,injection
udp,192.168.1.79,192.168.1.255,38836,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,40702,80,ACK,503,999,0.002111,10,password
udp,192.168.1.190,199.7.83.42,28146,53,OTH,80,1211,0.070903,2,normal
udp,192.168.1.79,239.255.255.250,57851,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.184,58388,443,SYN,144,76,0.000158,3,ddos
udp,192.168.1.152,192.168.1.190,45450,53,OTH,218,386,0.000211,4,normal
udp,192.168.1.190,205.251.194.154,8135,53,OTH,101,0,0.0,1,normal
tcp,192.168.1.39,176.28.50.165,4837,4837,SYN,12400,0,0.251225,200,dos
tcp,192.168.1.30,192.168.1.184,43788,443,SYN,144,76,1e-05,3,ddos
udp,192.168.1.79,239.255.255.250,43088,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,50967,53,OTH,89,360,0.19598,2,normal
tcp,192.168.1.30,192.168.1.190,33212,80,SYN,144,76,0.000768,3,ddos
udp,192.168.1.79,239.255.255.250,48934,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.180,192.168.1.190,51039,53,OTH,94,142,0.000478,2,ransomware
tcp,192.168.1.35,192.168.1.190,50480,80,ACK,4803,2211,0.114247,13,xss
udp,192.168.1.79,239.255.255.250,34249,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.195,12723,52479,SYN,64,0,0.0,1,scanning
tcp,192.168.1.194,192.168.1.194,80,4968,SYN,7440,0,0.178692,120,dos
tcp,192.168.1.30,192.168.1.184,43346,443,SYN,144,76,0.000835,3,ddos
udp,192.168.1.190,204.61.216.100,9634,53,OTH,88,815,0.024307,2,password
udp,192.168.1.190,91.189.95.3,6989,53,OTH,89,233,0.301103,2,normal
udp,192.168.1.152,192.168.1.190,60522,53,OTH,218,386,0.000285,4,normal
udp,192.168.1.79,192.168.1.195,39059,59443,OTH,366,0,0.0,1,injection
tcp,192.168.1.30,192.168.1.184,46624,443,SYN,144,76,1.4e-05,3,ddos
udp,192.168.1.180,192.168.1.190,49493,53,OTH,345,845,0.262333,8,injection
udp,192.168.1.190,208.76.45.53,5552,53,OTH,97,194,0.013551,2,normal
udp,192.168.1.190,84.53.139.129,10839,53,OTH,119,135,0.258309,2,normal
udp,127.0.0.1,127.0.0.1,35536,53,OTH,156,361,0.000226,4,normal
udp,172.17.13.152,224.0.0.251,5353,5353,OTH,103,0,0.0,1,normal
tcp,192.168.1.30,101.119.11.17,54262,80,ACK,704,800,30.594394,12,ddos
tcp,192.168.1.35,192.168.1.190,50962,80,ACK,3309,1669,0.103552,11,xss
udp,192.168.1.79,239.255.255.250,34181,15600,OTH,79,0,0.0,1,injection
udp,192.168.1.152,192.168.1.190,59057,53,OTH,218,386,0.000247,4,normal
udp,192.168.1.79,239.255.255.250,46055,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.35,192.168.1.1,44489,53,OTH,158,174,0.005672,4,xss
udp,192.168.1.79,192.168.1.255,58802,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,55532,80,SYN,144,76,0.000308,3,ddos
udp,192.168.1.79,239.255.255.250,56079,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.195,192.168.1.79,50367,9197,ACK,442,706,0.011189,10,password
udp,192.168.1.190,192.112.36.4,31008,53,OTH,83,1211,0.141284,2,normal
tcp,192.168.1.31,18.184.104.180,41596,80,ACK,1033,13007,1.55477,18,injection
tcp,192.168.1.31,192.168.1.152,49130,80,ACK,560,3924,0.103755,12,injection
udp,192.168.1.79,192.168.1.255,54392,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,47277,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.28,20646,2463,SYN,64,62,4.6e-05,2,scanning
udp,192.168.1.31,192.168.1.1,43331,53,OTH,86,244,0.015047,2,password
udp,192.168.1.190,198.41.0.4,35548,53,OTH,72,1141,0.124287,2,password
tcp,192.168.1.30,192.168.1.184,46968,443,SYN,144,76,1e-05,3,ddos
udp,192.168.1.190,194.146.106.46,53143,53,OTH,87,644,0.128676,2,injection
udp,192.168.1.190,95.100.168.194,17063,53,OTH,96,396,0.498371,2,normal
tcp,192.168.1.39,192.168.1.152,4835,4835,SYN,6200,0,0.186673,100,dos
udp,142.251.42.110,172.17.8.30,443,54535,OTH,267,0,0.0,1,normal
tcp,192.168.1.35,192.168.1.190,50708,80,ACK,2406,1367,0.113556,11,xss
udp,192.168.1.30,192.168.1.1,45491,53,OTH,79,111,0.002206,2,dos
udp,192.168.1.79,192.168.1.255,38452,15600,OTH,79,0,0.0,1,injection
tcp,192.168.1.30,192.168.1.184,42524,443,SYN,144,76,1e-05,3,ddos
udp,192.168.1.17,224.0.0.252,54575,5355,OTH,132,0,0.361382,2,normal
udp,192.168.1.79,239.255.255.250,36364,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.180,199.15.83.22,42562,43,ACK,287,287,0.052617,8,ransomware
other,192.168.1.103,224.0.0.253,0,0,OTH,3534,0,89259.981326,57,normal
udp,192.168.1.152,192.168.1.190,45036,53,OTH,218,386,0.000282,4,normal
udp,192.168.1.79,239.255.255.250,41187,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.195,224.0.0.252,59343,5355,OTH,154,0,3.6e-05,2,injection
udp,192.168.1.79,192.168.1.255,43757,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.195,18068,20779,SYN,64,0,0.0,1,scanning
tcp,192.168.1.195,192.168.1.79,50090,9197,ACK,479,3900,0.010549,12,injection
udp,192.168.1.30,192.168.1.1,57972,53,OTH,84,84,0.001551,2,ddos
udp,127.0.0.1,127.0.0.1,45436,53,OTH,156,361,0.000223,4,normal
udp,192.168.1.79,192.168.1.255,42566,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.180,192.168.1.190,48170,53,OTH,84,158,0.000522,2,ransomware
udp,192.168.1.152,192.168.1.190,42873,53,OTH,218,386,0.00038,4,normal
tcp,192.168.1.195,192.168.1.1,49970,41952,ACK,4248,53320,2.991965,926,mitm
udp,192.168.1.190,199.7.91.13,41619,53,OTH,83,1214,0.01358,2,normal
udp,192.168.1.190,205.251.199.134,26017,53,OTH,120,204,0.028449,2,normal
tcp,192.168.1.30,192.168.1.180,37479,3697,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,239.255.255.250,47776,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.195,8.8.8.8,57783,53,OTH,79,107,0.32303,2,injection
udp,192.168.1.190,192.33.14.30,46161,53,OTH,91,621,0.01376,2,injection
udp,192.168.1.152,192.168.1.190,47242,53,OTH,218,386,0.000249,4,normal
tcp,192.168.1.39,176.28.50.165,41058,80,ACK,764,594,1.204412,10,xss
udp,192.168.1.79,192.168.1.255,51030,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,57298,53,OTH,218,386,0.000295,4,normal
udp,192.168.1.79,239.255.255.250,56722,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.193,239.255.255.250,53371,1900,OTH,868,0,2.682682,4,normal
udp,192.168.1.79,192.168.1.255,44557,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.35,176.28.50.165,46462,80,ACK,2844,660,1.075842,12,xss
udp,192.168.1.79,192.168.1.255,55137,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,41676,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,56169,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.184,192.168.1.184,8080,4834,SYN,7440,0,0.283651,120,dos
tcp,192.168.1.31,192.168.1.152,40114,80,ACK,495,3924,0.002544,12,password
tcp,192.168.1.31,18.184.104.180,41682,80,ACK,757,13007,1.386559,18,injection
udp,192.168.1.190,192.33.14.30,53305,53,OTH,89,818,0.015504,2,password
udp,127.0.0.1,127.0.0.1,47954,53,OTH,156,361,0.000124,4,normal
udp,192.168.1.6,239.255.255.250,52937,1900,OTH,507,0,0.617013,3,injection
udp,192.168.1.79,192.168.1.255,34510,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.195,23122,3825,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,192.168.1.255,53434,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,43468,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.190,205.251.199.134,40212,53,OTH,120,204,0.025812,2,normal
tcp,192.168.1.32,192.168.1.195,16617,49305,SYN,64,0,0.0,1,scanning
udp,192.168.1.39,192.168.1.1,58536,53,OTH,158,174,0.00464,4,xss
udp,172.17.15.220,239.255.255.250,52877,1900,OTH,167,0,0.0,1,normal
tcp,192.168.1.30,18.184.104.180,42312,80,ACK,678,13007,1.447672,18,injection
tcp,192.168.1.39,18.194.169.124,41104,80,ACK,656,404,1.011358,10,xss
tcp,192.168.1.31,192.168.1.190,47174,80,ACK,657,2335,0.003769,11,injection
udp,192.168.1.190,65.22.7.1,29020,53,OTH,96,360,0.222102,2,ransomware
tcp,192.168.1.30,192.168.1.190,55310,80,SYN,144,76,0.000409,3,ddos
udp,192.168.1.190,96.7.49.129,3517,53,OTH,115,133,0.127142,2,normal
udp,192.168.1.79,239.255.255.250,34176,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.195,192.168.1.79,50131,9197,ACK,442,2136,0.014091,11,injection
udp,192.168.1.79,192.168.1.195,38290,62253,OTH,366,0,0.0,1,injection
udp,192.168.1.79,192.168.1.255,56355,15600,OTH,79,0,0.0,1,injection
tcp,192.168.1.32,192.168.1.28,63209,443,SYN,126,64,0.006206,3,scanning
udp,192.168.1.190,192.54.112.30,37271,53,OTH,86,807,0.26224,2,normal
tcp,192.168.1.31,192.168.1.190,46882,80,ACK,868,2335,0.014391,12,injection
udp,192.168.1.152,192.168.1.190,57220,53,OTH,218,386,0.000251,4,normal
tcp,192.168.1.30,192.168.1.195,47898,80,ACK,535,1226,0.011136,10,password
udp,192.168.1.190,162.159.1.33,35675,53,OTH,95,221,0.015849,2,injection
udp,192.168.1.152,192.168.1.190,39971,53,OTH,218,386,0.000209,4,normal
udp,192.168.1.79,192.168.1.255,35248,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,39490,53,OTH,218,386,0.000232,4,normal
tcp,192.168.1.31,192.168.1.152,50712,80,ACK,501,811,0.001509,10,password
udp,192.168.1.79,239.255.255.250,42411,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.17,239.255.255.250,62434,1900,OTH,868,0,3.031197,4,normal
udp,127.0.0.1,127.0.0.1,53543,53,OTH,156,361,0.000503,4,normal
udp,192.168.1.152,192.168.1.190,43639,53,OTH,218,386,0.000244,4,normal
tcp,192.168.1.30,52.59.177.21,35730,80,ACK,761,13007,1.675162,18,injection
tcp,192.168.1.30,192.168.1.195,51871,47207,SYN,64,0,0.0,1,scanning
tcp,192.168.1.30,52.59.177.21,36242,80,ACK,643,13007,1.356272,18,injection
udp,192.168.1.79,192.168.1.255,39011,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,39429,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,40107,53,OTH,218,386,0.000244,4,normal
udp,192.168.1.152,192.168.1.190,36742,53,OTH,218,386,0.00023,4,normal
udp,192.168.1.79,192.168.1.255,33009,15600,OTH,79,0,0.0,1,injection
udp,192.168.1.190,204.61.216.50,54311,53,OTH,91,533,0.023933,2,injection
udp,192.168.1.79,192.168.1.255,47681,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.32,192.168.1.180,57650,6414,SYN,64,0,0.0,1,scanning
tcp,192.168.1.32,192.168.1.180,55609,47865,SYN,64,0,0.0,1,scanning
udp,192.168.1.190,196.216.168.10,62437,53,OTH,88,1351,0.510731,2,password
tcp,192.168.1.30,192.168.1.195,2232,1964,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,192.168.1.255,36327,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,35173,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,50154,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.195,192.168.1.79,57461,9197,ACK,442,953,0.024995,10,dos
udp,192.168.1.35,192.168.1.1,50819,53,OTH,158,174,0.004579,4,xss
tcp,192.168.1.31,18.184.104.180,41688,80,ACK,640,13007,1.379447,18,injection
tcp,192.168.1.195,192.168.1.79,53098,9197,ACK,1106,30750,0.03539,33,ransomware
udp,192.168.1.79,239.255.255.250,39571,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,49299,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,37178,53,OTH,218,386,0.000238,4,normal
udp,192.168.1.195,8.8.8.8,62204,53,OTH,86,196,0.224339,2,normal
tcp,192.168.1.30,192.168.1.190,57318,80,SYN,144,76,0.000214,3,ddos
tcp,192.168.1.30,192.168.1.190,57790,80,SYN,144,76,1.3e-05,3,ddos
udp,192.168.1.79,239.255.255.250,56733,15600,OTH,79,0,0.0,1,injection
udp,192.168.1.30,192.168.1.1,57873,53,OTH,87,87,0.00229,2,ddos
udp,192.168.1.190,198.41.0.4,40915,53,OTH,72,1141,0.125141,2,injection
udp,192.168.1.79,192.168.1.255,57848,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.30,192.168.1.1,33276,53,OTH,81,97,0.003313,2,dos
udp,192.168.1.193,239.255.255.250,64644,1900,OTH,868,0,3.143148,4,normal
udp,192.168.1.152,192.168.1.190,53462,53,OTH,218,386,0.000282,4,normal
tcp,192.168.1.31,192.168.1.152,39856,80,ACK,501,811,0.015711,10,password
tcp,192.168.1.39,18.194.169.124,41526,80,ACK,627,404,1.005739,10,xss
tcp,192.168.1.180,192.0.32.59,47904,43,ACK,364,924,0.53751,10,password
tcp,192.168.1.30,192.168.1.190,53478,80,SYN,144,76,0.000994,3,ddos
udp,192.168.1.79,192.168.1.255,54373,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.30,192.168.1.1,59527,53,OTH,79,111,0.002233,2,dos
udp,192.168.1.152,192.168.1.190,42141,53,OTH,218,386,0.000308,4,normal
udp,192.168.1.79,192.168.1.255,44150,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.39,192.168.1.1,49595,53,OTH,164,196,0.017967,4,xss
udp,192.168.1.190,202.12.27.33,31472,53,OTH,84,1212,0.237296,2,normal
tcp,192.168.1.35,176.28.50.165,46172,80,ACK,4734,726,1.024241,14,xss
tcp,192.168.1.31,192.168.1.180,45028,7426,SYN,64,0,0.0,1,scanning
udp,192.168.1.152,192.168.1.190,57493,53,OTH,218,386,0.000196,4,normal
udp,192.168.1.152,192.168.1.190,32938,53,OTH,218,386,0.00025,4,normal
udp,127.0.0.1,127.0.0.1,53774,53,OTH,156,361,0.759174,4,normal
tcp,192.168.1.30,192.168.1.193,37946,21,SYN,76,62,1.8e-05,2,password
udp,192.168.1.79,192.168.1.255,37442,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.32,192.168.1.195,15935,9916,SYN,64,0,0.0,1,scanning
tcp,192.168.1.30,192.168.1.195,46492,80,ACK,473,1226,0.006116,9,password
tcp,192.168.1.31,18.184.104.180,41698,80,ACK,610,13007,1.369422,17,injection
udp,192.168.1.190,203.119.86.101,52587,53,OTH,145,816,0.023333,2,injection
udp,192.168.1.152,192.168.1.190,59701,53,OTH,218,386,0.000212,4,normal
udp,192.168.1.79,239.255.255.250,36659,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,44332,15600,OTH,79,0,0.0,1,normal
tcp,172.17.8.30,172.17.13.101,64433,7680,ACK,411,307,0.039748,10,normal
udp,192.168.1.79,192.168.1.255,57343,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,39988,80,ACK,515,3229,0.002508,11,password
tcp,192.168.1.31,192.168.1.152,41090,21,SYN,76,62,0.024331,2,password
udp,192.168.1.152,192.168.1.190,46726,53,OTH,218,386,0.000174,4,normal
udp,192.168.1.79,192.168.1.255,52761,15600,OTH,79,0,0.0,1,normal
other,199.43.133.53,192.168.1.190,0,0,OTH,372,0,0.010553,6,password
udp,192.168.1.31,192.168.1.1,47721,53,OTH,79,111,0.001868,2,dos
udp,192.168.1.79,239.255.255.250,36395,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.190,193.108.88.128,53238,53,OTH,115,133,0.011966,2,normal
udp,192.168.1.79,239.255.255.250,41842,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.180,192.168.1.190,34679,53,OTH,83,505,0.000561,2,ddos
udp,192.168.1.79,192.168.1.255,60771,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,41085,53,OTH,218,386,0.000231,4,normal
tcp,192.168.1.39,176.28.50.165,41088,80,ACK,2589,660,1.114854,12,xss
tcp,192.168.1.195,192.168.1.79,57458,9197,ACK,442,2136,0.0129,11,dos
udp,192.168.1.152,192.168.1.190,56421,53,OTH,218,386,0.000246,4,normal
tcp,192.168.1.31,18.184.104.180,41588,80,ACK,1027,13007,1.568532,18,injection
